Name,Email,Password,Class ID,Section ID,Admission Date,Date of Birth,Gender,Address,Phone
Diane Uwimana,diane.uwimana0@school.com,Pass1581,9,A,1/23/2024,2/19/2007,Female,Rubavu,798949967
Samuel Uwimana,samuel.uwimana1@school.com,Pass4582,9,A,1/20/2024,11/29/2006,Male,Nyagatare,741307487
Kevin Ndayisenga,kevin.ndayisenga2@school.com,Pass1979,9,A,11/29/2023,3/7/2008,Male,Rwamagana,758015292
Claudine Ndayisenga,claudine.ndayisenga3@school.com,Pass3803,9,A,5/10/2024,4/19/2006,Male,Muhanga,747418964
Samuel Iradukunda,samuel.iradukunda4@school.com,Pass7311,9,A,9/8/2023,1/23/2008,Female,Musanze,778239726
Claudine Uwimana,claudine.uwimana5@school.com,Pass1672,9,A,1/31/2024,9/30/2005,Male,Rwamagana,748250739
Lionel Ndayisenga,lionel.ndayisenga6@school.com,Pass7787,9,A,10/21/2023,2/10/2010,Female,Rwamagana,734252393
Diane Mukamana,diane.mukamana7@school.com,Pass9908,9,A,11/21/2023,9/7/2008,Female,Nyagatare,727120488
Didier Nshimiyimana,didier.nshimiyimana8@school.com,Pass3891,9,A,9/4/2023,6/3/2010,Female,Muhanga,784204454
Claude Ndayisenga,claude.ndayisenga9@school.com,Pass8728,9,A,11/24/2023,3/5/2008,Female,Rubavu,701233700
Valens Umutoni,valens.umutoni10@school.com,Pass1353,9,A,11/6/2023,1/22/2009,Male,Muhanga,797886730
Brenda Mugisha,brenda.mugisha11@school.com,Pass3267,9,A,9/27/2023,7/6/2008,Male,Muhanga,764207984
Eric Habimana,eric.habimana12@school.com,Pass6130,9,A,1/30/2024,6/27/2005,Female,Huye,772577057
Kevin Uwimana,kevin.uwimana13@school.com,Pass2003,9,A,10/6/2023,2/10/2006,Female,Kigali,716759058
Samuel Uwimana,samuel.uwimana14@school.com,Pass2504,9,A,3/14/2024,3/11/2007,Male,Muhanga,728737658
Grace Uwase,grace.uwase15@school.com,Pass8688,9,A,10/25/2023,12/27/2007,Female,Rwamagana,731267872
Aline Iradukunda,aline.iradukunda16@school.com,Pass5064,9,A,12/24/2023,5/15/2009,Female,Huye,749775404
Emmanuel Ndayisenga,emmanuel.ndayisenga17@school.com,Pass7756,1,B,1/24/2024,5/10/2010,Male,Rubavu,794875334
Kevin Habimana,kevin.habimana18@school.com,Pass5099,3,B,4/3/2024,6/16/2007,Female,Nyagatare,736657006
Claude Iradukunda,claude.iradukunda19@school.com,Pass7482,3,B,9/5/2023,2/19/2006,Male,Kigali,712010046
